Mes,Year,Palmillas,Magdaleno Aguilar,La Vega,Plan de Ayala,La Reforma,Jaumave DGE,Jaumave SMN,Francisco Zorilla,San vicente,La Encantada
Jul,1981,111.5,85,68.55,61.5,48,56.3,68.52,50.3,84.2,107.93
Ago,1981,85,82,88.09,52,36,95,88.94,92.7,113.1,107.13
Sep,1981,45,141,83.86,59,96,103.4,84.68,115.2,77.1,126.56
Oct,1981,15,13,13.26,19,8,7.8,13.08,10.4,15,615.37
Nov,1981,4,1,0.86,1,0,0.6,0.85,0,0.3,378.11
Ene,1982,0,0,0,0,0,0,0,0,0,743.43
Feb,1982,8,11,10.96,13,6,7.4,10.87,5.8,18.9,272.74
Mar,1982,10,19,30.37,41,20,18.7,30.03,31.5,40.2,227.78
Ago,1982,45,105,24.87,30,34,19.9,24.71,24.7,15.2,370.85
Sep,1982,64.5,127.2,55.21,46,118,59.7,55.43,47.2,63,312.85
Oct,1982,55,51.5,76.48,82,127,81.8,76.39,66.9,85.7,261.93
Nov,1982,30,23.5,8.11,8,8,5.7,8.08,3.8,4.2,185.54
Dic,1982,14,39.9,13.89,12,11,12.4,13.92,14.5,16.5,182.71
Ene,1983,20,36.5,14.3,12,15,12.4,14.33,14.7,15.2,172.01
Feb,1983,7,11,4.23,4,9,6,4.25,2.8,2.8,155.24
Mar,1983,0,1,0,0,0,0,0,0,0,318.95
May,1983,103,157.8,98.34,153,94,74.4,96.88,76.1,88.4,282.15
Jun,1983,136,70,40.8,20,42,40.5,41.16,10.8,44.3,712.67
Jul,1983,134,213.6,132.68,172,248,133.4,131.81,117.6,108.2,242.32
Ago,1983,36,61,43.56,65,81,24.5,42.89,38,50.5,184.45
Sep,1983,56,100.3,55.37,92,154.5,51.8,54.51,38,40.2,171.92
Oct,1983,22,12.5,6.16,9,2,4.4,6.07,1.4,2.1,163.89
Nov,1983,17,12.2,6.37,6.5,5,5.8,6.36,4.5,3.5,207.79
Dic,1983,0,0,0,0,0,0,0,0,0,234.31
Feb,1984,10,6,4.96,4.97,2,4.1,4.95,4.5,3.8,780.06
Mar,1984,3,1,0.45,0.6,0,0.1,0.47,0,0,768.25
May,1984,76,2.5,99.55,91.1,154,107.5,98.23,101.4,101.4,614.17
Jun,1984,116,302,56.09,97.7,69,44.8,62.85,40.9,52.9,502.84
Jul,1984,104,188.1,116.67,128.03,124,106.7,118.52,140.6,109.2,391.46
Ago,1984,30.5,159.6,26.52,47.52,32,17.4,29.93,30.7,29.4,266.13
Sep,1984,89,102.5,77.89,84.01,94,72.4,78.78,55.2,99.9,245.26
Oct,1984,6,7.3,3.78,4.57,5,2,3.89,3,5.2,205.12
Nov,1984,12,13.5,2.21,4.08,0,0.5,2.5,0,1.3,474.91
Feb,1985,0.89,4,0.19,0,0,0.4,0.19,0,0,498.82
Mar,1985,19.5,1.3,3.74,0,0,0,3.77,0,7,402.35
Abr,1985,168,113.1,98.33,87,79,110.3,98.63,76.6,85.1,313.24
May,1985,114,107,48.98,48,29,53,49,34.7,28.5,224.21
Jun,1985,77,85.5,40.87,24,37,66.3,41.41,14.8,40.3,218.16
Jul,1985,101,130.7,89.38,76.5,31,86.3,89.56,71.2,116.8,218.66
Ago,1985,58,71.6,63.2,69,90,66.6,63.09,55,64.8,208.06
Sep,1985,72.78,95,53.09,30,128,37.3,53.46,66.9,67.7,296.52
Oct,1985,40,13.6,25.98,17,70,31.1,26.23,27.1,21.8,293.99
Nov,1985,10,1.2,6.02,10,13,6.2,5.94,4.6,1.5,285.35
Ene,1986,0,1.2,0,0,0,0,0,0,0,280.68
Feb,1986,9,6.2,5.58,10,7,3.7,5.46,3.2,3.8,212.86
Mar,1986,7,10.2,1.5,0,0,1.6,1.54,2.57,0.2,171.97
Abr,1986,69,80,49.26,47.9,37,67.9,49.42,27.6,44,144.58
